,doc_id,vol_1,vol_1_type,price_1,price_1_type,maturity,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
9,CLR20120224,8760000,bbls,$80.00|$95.00,floor,20132013,collar,oil,$86.92,floor,$92.30|$110.33,ceiling,$99.46,ceiling,,
15,CLR20120224,3660000,mmbtu,january 2012 - december 2012,floor,2012,swap,natural gas,natural gas henry hub,floor,,,,,,
2,CLR20130228,270000,bbls,$107.87,weighted average price,20132013,swap,oil,,,,,,,,
4,CLR20130228,1100000,bbls,$109.27,weighted average price,20132013,swap,oil,,,,,,,,
6,CLR20130228,5292500,bbls,$105.51,weighted average price,20142014,swap,oil,,,,,,,,
2,CLR20130228,13360000,mmbtu,$3.66,weighted average price,20132013,swap,natural gas,,,,,,,,
4,CLR20130228,11862500,bbls,$92.66,swapsweightedaverage,20132013,swap,oil,,,,,,,,
5,CLR20130228,8760000,bbls,,swapsweightedaverage,20132013,collar,oil,,,,,,,,
7,CLR20130228,10311250,bbls,$96.20,swapsweightedaverage,20142014,swap,oil,,,,,,,,
4,CLR20130228,11862500,bbls,,floor,20132013,swap,oil,,floor,,ceiling,,ceiling,,
5,CLR20130228,8760000,bbls,$80.00|$95.00,floor,20132013,collar,oil,$86.92,floor,$92.30|$110.33,ceiling,$99.46,ceiling,,
7,CLR20130228,10311250,bbls,,floor,20142014,swap,oil,,floor,,ceiling,,ceiling,,
4,CLR20130228,3467500,bbls,$108.49,swapsweightedaverage,20132013,swap,oil,,,,,,,,
6,CLR20130228,6570000,bbls,$100.66,swapsweightedaverage,20142014,swap,oil,,,,,,,,
7,CLR20130228,2190000,bbls,,swapsweightedaverage,20142014,collar,oil,,,,,,,,
9,CLR20130228,1277500,bbls,$98.48,swapsweightedaverage,20152015,swap,oil,,,,,,,,
4,CLR20130228,3467500,bbls,,floor,20132013,swap,oil,,floor,,ceiling,,ceiling,,
