date,comnam,ticker,permno,permco,vol,shrout,mv_permco,ret1,F1ret,prc,year,month,logsize,L1ret_1,L1ret_6,L1ret_11
30dec1994,"PHILLIPS PETROLEUM CO","P",13928,21401,77137,261597,8567.302,-.0075758,-.0181679,32.75,1994,12,9.055708,-.1050847,.0317427,.1772943
31jan1995,"PHILLIPS PETROLEUM CO","P",13928,21401,101483,261597,8338.404,-.0181679,.0470588,31.875,1995,1,9.028627,-.0075758,.0648835,.1377732
28feb1995,"PHILLIPS PETROLEUM CO","P",13928,21401,84530,261597,8730.8,.0470588,.0973783,33.375,1995,2,9.074613,-.0181679,-.0023504,.214913
31mar1995,"PHILLIPS PETROLEUM CO","P",13928,21401,116445,261597,9580.99,.0973783,-.0443686,36.625,1995,3,9.167536,.0470588,.0241155,.2959743
28apr1995,"PHILLIPS PETROLEUM CO","P",13928,21401,86228,261664,9158.24,-.0443686,.0444286,35,1995,4,9.122409,.0973783,.0869276,.2116923
31may1995,"PHILLIPS PETROLEUM CO","P",13928,21401,116002,261995,9497.318,.0444286,-.0793103,36.25,1995,5,9.158765,-.0443686,-.0425098,.103885
30jun1995,"PHILLIPS PETROLEUM CO","P",13928,21401,168337,261995,8744.083,-.0793103,.0599251,33.375,1995,6,9.076133,.0444286,.1174579,.1990462
31jul1995,"PHILLIPS PETROLEUM CO","P",13928,21401,105440,261995,9268.073,.0599251,-.0620495,35.375,1995,7,9.134331,-.0793103,.0366856,.0533868
31aug1995,"PHILLIPS PETROLEUM CO","P",13928,21401,133366,262154,8618.313,-.0620495,-.0114068,32.875,1995,8,9.061645,.0599251,.1191416,.0946188
29sep1995,"PHILLIPS PETROLEUM CO","P",13928,21401,100848,262154,8520.005,-.0114068,-.0076923,32.5,1995,9,9.050172,-.0620495,.0025219,-.0070254
31oct1995,"PHILLIPS PETROLEUM CO","P",13928,21401,112193,262154,8454.467,-.0076923,.0443411,32.25,1995,10,9.04245,-.0114068,-.0968599,-.0951032
30nov1995,"PHILLIPS PETROLEUM CO","P",13928,21401,84692,262154,8749.39,.0443411,.0224719,33.375,1995,11,9.076739,-.0076923,-.0621982,.0033755
29dec1995,"PHILLIPS PETROLEUM CO","P",13928,21401,93364,262068,8943.07,.0224719,-.0313553,34.125,1995,12,9.098635,.0443411,-.0622767,.0558653
31jan1996,"PHILLIPS PETROLEUM CO","P",13928,21401,116322,262068,8582.727,-.0313553,.0687023,32.75,1996,1,9.057507,.0224719,.0413886,.0995695
29feb1996,"PHILLIPS PETROLEUM CO","P",13928,21401,171912,262068,9172.38,.0687023,.1285714,35,1996,2,9.123952,-.0313553,-.0482955,.0172228
29mar1996,"PHILLIPS PETROLEUM CO","P",13928,21401,263937,262068,10351.69,.1285714,.0506329,39.5,1996,3,9.244905,.0687023,.0843736,-.0093586
30apr1996,"PHILLIPS PETROLEUM CO","P",13928,21401,172182,262068,10875.82,.0506329,.0073494,41.5,1996,4,9.294297,.1285714,.2379138,.1699172
