,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,additional,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
18,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",5332620,",,,bbls",,",swaps,weighted,average",january 2012 december 2012,collar,oil,,,,,,,,
20,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",5110000,",,,bbls",88.63,",swaps,weighted,average",january 2013 december 2013,swap,oil,,,,,,,,
21,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",4745000,",,,bbls",,",swaps,weighted,average",january 2013 december 2013,collar,oil,,,,,,,,
5,CLR20110225,swaps,",,,period and type of contractjanuary 2011 march 2011",284000,",,,bbls",,"collars,floors,,range",,swap,oil,,"collars,floors,weighted,average",,"collars,ceilings,,range",,"collars,ceilings,weighted,average",,
6,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2565000,",,,bbls",$75|$80,"collars,floors,,range",,collar,oil,$78.95,"collars,floors,weighted,average",$88.65|$97.25,"collars,ceilings,,range",$91.70,"collars,ceilings,weighted,average",,
8,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",273000,",,,bbls",,"collars,floors,,range",april 2011 june 2011,swap,oil,,"collars,floors,weighted,average",,"collars,ceilings,,range",,"collars,ceilings,weighted,average",,
9,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2593500,",,,bbls",$75|$80,"collars,floors,,range",april 2011 june 2011,collar,oil,79.39,"collars,floors,weighted,average",$89.00|$97.25,"collars,ceilings,,range",91.27,"collars,ceilings,weighted,average",,
11,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",460000,",,,bbls",,"collars,floors,,range",july 2011 september 2011,swap,oil,,"collars,floors,weighted,average",,"collars,ceilings,,range",,"collars,ceilings,weighted,average",,
12,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2622000,",,,bbls",$75|$80,"collars,floors,,range",july 2011 september 2011,collar,oil,79.39,"collars,floors,weighted,average",$89.00|$97.25,"collars,ceilings,,range",91.27,"collars,ceilings,weighted,average",,
14,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",644000,",,,bbls",,"collars,floors,,range",october 2011 december 2011,swap,oil,,"collars,floors,weighted,average",,"collars,ceilings,,range",,"collars,ceilings,weighted,average",,
